"Story","Title","Result","Date","Stability","Duration (s)"
"petStore","POST pet with json body","FAILURE","2019-08-12T13:17:04.8589401+02:00[Europe/Paris]","0.0","5.34"
"petStore","PUT pet with json body","FAILURE","2019-08-12T13:17:14.0602718+02:00[Europe/Paris]","0.0","1.42"
